Country,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
fr,bressuire,46.839886,-0.489639,32.9,86,0,4.7
us,clinton,41.84444439999999,-90.1886111,9.68,66,1,6.93
am,navur,40.861388899999994,45.3175,22.73,75,0,2.62
cn,karamay,45.600376000000004,84.860142,-7.11,56,20,2.62
ca,hope,49.383333,-121.433333,30.04,40,1,14.99
ro,ostra,47.4,25.766667,26.6,92,90,3.36
dk,stenlille,55.540225,11.591458,37.4,91,20,24.16
hu,mohacs,45.993056,18.683056,26.6,100,0,3.36
pk,khanpur,28.645338,70.656702,51.85,96,8,3.74
lu,niedercorn,49.53611110000001,5.8930556,32.13,100,0,10.29
my,batu berendam,2.2487,102.246,77,73,75,9.17
lu,oetrange,49.596388899999994,6.26,30.2,100,0,10.29
ru,syava,58.014573,46.32216,3.7,64,32,2.39
co,arboledas,7.642333,-72.799442,82.4,65,75,2.24
us,montclair,40.8258333,-74.2094444,49.24,93,90,8.05
us,fredericksburg,38.30305560000001,-77.4608333,65.41,88,1,9.17
ru,dalnerechensk,45.933889,133.7225,1.45,70,20,6.42
mm,pyapon,16.283333300000002,95.6833333,83.66,69,0,3.4
ro,bistra,47.866667,24.2,24.85,96,88,2.17
es,lepe,37.254819,-7.204334,53.74,97,48,9.1
ru,betki,54.8,53.633333,11.89,87,80,6.2
ru,peski,51.2531,42.4693,6.67,79,64,10.78
ru,chaykovskiy,56.768637,54.114844,2.03,79,36,7.54
dk,viby,55.548724,12.023912,37.4,90,8,24.16
ro,valenii de munte,45.183333000000005,26.033333,33.8,97,90,5.82
ru,balakhta,55.387778000000004,91.603056,6.4,86,68,2.84
fr,creil,49.256721999999996,2.484771,33.03,86,0,11.41
br,sao bernardo,-3.3666669999999996,-42.4,71.6,100,88,0.38
co,peque,7.021225,-75.909262,62.65,96,92,1.72
ru,rassvet,56.998999999999995,91.4724,6.49,80,56,3.74
al,kamze,41.381666700000004,19.7602778,44.6,87,90,3.36
ro,silistea crucii,44.033333,23.483333,32,99,75,3.36
ph,valderrama,11.405907000000001,122.083707,79.48,99,56,18.05
cz,semily,50.602889000000005,15.33768,29.8,95,56,6.08
mu,quatre bornes,-20.2644444,57.4719444,77,94,40,4.7
br,caxias,-4.8333330000000005,-43.35,77,83,40,6.93
no,blakstad,59.81916700000001,10.474722,31.14,92,88,17.22
pa,santa rita,8.8605556,-79.8791667,80.6,74,0,10.29
us,upland,34.0975,-117.6475,63.91,34,40,12.75
ph,maturanoc,15.6571,120.7921,78.8,65,75,4.7
us,cerritos,33.8583333,-118.0638889,63.9,51,1,10.29
fr,armentieres,50.685679,2.882139,35.13,80,90,12.75
pt,odivelas,38.795234,-9.187387,54.61,100,40,8.05
hu,petofibanya,47.779425,19.705504,24.8,100,75,1.12
br,moita bonita,-10.583333,-37.366667,80.6,69,20,8.05
gb,cowie,56.066667,-3.866667,32,93,0,10.29
br,loanda,-22.9,-53.166667,73.31,100,92,6.76
ru,anadyr,64.75,177.483333,21.2,92,90,6.71
gb,southport,53.666667000000004,-3,35.51,92,75,13.87
in,jamkhed,18.666667,75.183333,59.9,97,92,6.98
in,rabkavi,16.466667,75.1,61.88,93,24,4.41
nz,turangi,-39.0,175.933333,70.48,94,12,8.66
lv,dobele,56.625,23.2786111,26.6,92,90,10.29
co,caramanta,5.5478190000000005,-75.643677,59,98,92,1.16
ru,sukhaya buyvola,45.153333,42.995556,30.2,100,90,8.95
jp,fussa,35.736667,139.323611,42.37,22,20,8.05
ca,clyde river,70.45,-68.566667,-25.61,67,90,11.41
de,leopoldshohe,52.016667,8.7,34.27,94,24,16.11
ru,oktyabrskiy,54.340676,48.705314,-2.21,84,40,4.47
it,san vito al tagliamento,45.914444,12.85,37.9,74,92,2.24
tn,bin qirdan,33.13783,11.219649,40.73,88,0,9.1
ru,primorskiy,43.098333000000004,131.5875,3.2,54,40,2.24
br,massaranduba,-7.183333,-35.766667,70.88,95,92,3.96
ph,bantuanon,8.015278,125.070833,74.3,79,92,2.95
bd,rajshahi,24.3666667,88.6,67.06,81,68,5.75
ge,tsalenjikha,42.6044444,42.0772222,50,76,90,13.87
co,panqueba,6.442553,-72.458821,47.93,90,68,1.83
th,sing buri,14.887861,100.404639,80.29,58,0,14.25
us,bourbonnais,41.1416667,-87.875,15.58,78,1,6.93
us,new philadelphia,40.4897222,-81.4458333,31.06,86,90,5.82
cm,rey bouba,8.666666699999999,14.1833333,72.68,67,64,2.39
ro,giulesti,47.816666999999995,23.933333,24.85,96,88,2.17
mm,minbu,20.1833333,94.8833333,79.03,60,8,6.76
mx,cuautlapan,18.866667,-97.033333,55.31,97,24,1.16
br,capao bonito,-24.016667,-48.333333,69.13,98,88,3.51
tw,taichung,24.143333300000002,120.6813889,53.6,62,75,11.41
lv,jurmala,56.9608333,23.75,26.6,92,90,10.29
zm,chipata,-13.633333300000002,32.65,65.26,93,92,3.85
hn,san pedro zacapa,14.75,-88.1166667,78.8,44,1,4.7
am,zar,40.2611111,44.7361111,37.4,93,76,2.24
py,paso de patria,-27.216666999999998,-58.583333,74.35,64,0,14.99
ph,cuambog,7.308611,125.848056,80.6,83,75,6.93
us,sauk rapids,45.591944399999996,-94.1658333,9.39,50,1,4.7
ua,trybukhivtsi,49.042506,25.450549,15.4,73,44,3.74
es,berga,42.098215,1.844004,48.2,81,75,2.24
pa,rio hato,8.3833333,-80.1666667,77.14,84,0,11.9
ch,versoix,46.284017,6.161659,36.46,86,40,3.36
de,landsberg,48.05,10.866667,32.45,92,88,5.82
ca,princeton,49.45,-120.5,27.97,53,75,4.7
in,hole narsipur,12.782778,76.243056,68.77,68,20,4.18
mx,terrenate,19.483333,-97.916667,60.8,44,75,8.05
ph,anao,15.1405,120.6926,81.86,65,75,4.7
de,lauchhammer,51.5,13.8,33.8,86,44,6.93
mx,tatahuicapan,18.233333,-94.75,77,73,40,11.41
tr,ahlat,38.751775,42.481353,33.04,98,92,2.84
br,pereira barreto,-20.633333,-51.116667,72.95,99,44,3.18
ph,cabatang,13.973332999999998,121.379444,78.53,90,48,14.58
ru,razdolnoye,43.55,131.916667,3.2,54,40,2.24
gr,miki,41.25,24.9166667,41,86,75,5.82
no,hylkje,60.510278,5.354444,28.13,99,88,2.62
ru,yagodnoye,62.55,149.666667,-9.09,74,48,3.18
us,durant,33.993888899999995,-96.3705556,29.75,63,1,3.36
ir,mehran,33.1222,46.1646,50,53,75,4.7
br,carandai,-20.933332999999998,-43.916667,64.09,89,24,3.96
br,floresta,-8.6,-38.566667,71.6,77,32,7.65
ru,zakan-yurt,43.259722,45.420556,32.41,95,64,2.73
mx,xalpa,19.816667000000002,-99.183333,61.47,37,90,5.82
rs,gnjilane,42.468889000000004,21.463333,32.09,86,75,0.27
pk,tando adam,25.763735999999998,68.660982,50,81,0,4.7
ca,vercheres,45.766667,-73.35,31.78,93,90,23.04
us,hartford,43.3177778,-88.3788889,15.8,52,1,6.93
ru,lesogorskiy,61.045486,28.929376,24.8,92,90,4.7
ru,monchegorsk,67.939722,32.873889,7.93,95,56,2.39
ph,espana,12.384139,122.499012,80.6,83,90,24.87
ro,fantanele,47.516667,26.316667,26.6,92,90,3.36
es,amurrio,43.05,-3,42.19,86,75,3.36
gb,whitehills,57.666667000000004,-2.583333,30.74,99,0,17.22
de,lahnstein,50.3,7.616667,31.44,86,88,9.17
ro,corabia,43.783333,24.5,29.3,92,80,3.62
gb,portadown,54.433333,-6.45,32.94,95,75,11.41
py,pozo colorado,-23.466667,-58.966667,77.14,89,44,9.89
kz,merke,42.872778000000004,73.178611,2.48,59,44,2.73
ru,kyzburun pervyy,43.651666999999996,43.395,32.79,100,90,4.47
gt,siquinala,14.306110999999998,-90.965,66.2,82,20,9.17
gb,accrington,53.766667000000005,-2.35,34.43,86,75,6.93
in,samalkot,17.05,82.183333,78.94,71,0,8.77
us,bella vista,36.4813889,-94.2730556,23.77,85,90,4.7
us,newburyport,42.8125,-70.8777778,35.6,100,90,6.93
ro,barcea,45.75,27.466667,30.83,89,92,9.1
ru,dmitriyevka,52.8832,40.7855,9.86,82,44,8.66
gr,plataria,39.4525,20.2761111,46.4,87,75,3.06
ro,beresti,46.1,27.883333,28.81,87,88,8.43
ru,milkovo,54.716667,158.616667,15.85,72,88,10.56
pk,jampur,29.644138,70.595436,49.69,93,8,3.4
ro,stanceni,46.983333,25.233333,23.36,92,76,0.72
pa,vista hermosa,8.5333333,-80.3666667,77.14,84,0,11.9
ro,valea crisului,45.916667,25.766667,24.31,93,92,2.39
de,tettnang,47.666667,9.6,34.95,93,90,4.7
in,bilasipara,26.231953999999998,90.234747,65.35,65,12,7.43
de,zetel,53.416667000000004,7.983333,33.8,92,20,11.41
it,sala consilina,40.383333,15.6,26.38,100,24,0.72
eg,damietta,31.419444399999996,31.815,60.8,82,0,6.93
us,cedar falls,42.5277778,-92.4452778,5.5,72,1,4.7
cz,frystak,49.291022999999996,17.693884,31.93,74,90,14.99
ph,baras,11.183333,125.016667,78.76,100,76,9.22
ec,velasco ibarra,-1.05,-79.6166667,75.2,90,80,6.31
mx,acaxochitlan,20.166667,-98.2,52.84,93,8,1.72
mx,moroleon,20.133333,-101.2,62.6,59,75,2.24
cl,arauco,-37.25,-73.316667,62.6,55,0,11.41
ro,teliu,45.7,25.85,23.36,89,80,1.83
ro,corni,47.65,26.583333,26.6,92,90,3.36
us,opelousas,30.5333333,-92.0813889,50.04,87,90,16.11
ca,louiseville,46.25,-72.933333,46.81,100,92,16.71
us,middletown,41.54555560000001,-71.2919444,52.72,100,75,6.93
jp,akabira,43.551389,142.053056,14,66,75,13.87
br,rio pomba,-21.283333,-43.183333,69.53,75,0,6.98
ph,trento,8.045833,126.063611,78.22,86,92,3.18
pa,chichica,8.35,-81.6666667,69.67,91,8,2.73
in,kalyan,19.25,73.15,69.8,77,20,5.82
br,juru,-7.533333,-37.816667,68.95,84,68,1.83
jp,kudamatsu,34.0,131.866667,35.65,65,75,8.05
br,santo amaro,-12.533333,-38.716667,78.8,78,20,5.82
hu,kiskunmajsa,46.490278,19.74,26.65,100,20,2.95
ro,poieni,46.916667,22.9,33.8,86,90,2.28
in,dalsingh sarai,25.666667,85.833333,61.03,78,92,3.96
br,carmo,-21.933332999999998,-42.616667,65.8,90,20,3.4
ro,colibasi,44.202222,26.194722,34.68,93,92,5.82
ph,nangka,10.55,123.966667,84.2,74,90,9.17
us,del rio,29.3625,-100.8963889,48.2,39,1,8.05
nz,winton,-46.15,168.333333,78.8,58,24,13.24
nz,rolleston,-43.583333,172.383333,80.6,57,0,14.99
in,dhuri,30.366667,75.866667,55,99,92,14.92
ie,gort,53.0663889,-8.8166667,35.6,93,20,10.29
in,nongstoin,25.516667,91.266667,63.73,72,8,3.18
us,darby,39.9183333,-75.2594444,62.6,93,90,12.75
ph,morales,11.5456,122.3764,75.34,100,92,5.19
pk,jalalpur pirwala,29.506871999999998,71.219172,52.57,95,12,4.97
ph,tugdan,12.3134,122.0853,80.6,83,90,22.75
pa,la palma,8.4027778,-78.1452778,76.01,95,68,0.49
th,soeng sang,14.426417,102.460584,68,77,20,5.82
ch,seuzach,47.536974,8.731668,35.6,95,75,5.82
ro,mihail kogalniceanu,45.033333,28.733333,32,100,92,17.22
us,belton,31.0558333,-97.4641667,38.3,59,1,8.05
us,stockbridge,33.5441667,-84.2338889,63.19,100,90,9.17
si,crnomelj,45.5711111,15.1888889,28.4,92,76,2.17
ro,campulung moldovenesc,47.533333,25.566667,26.6,92,90,3.36
my,lawan kuda baharu,4.4547,101.1606,76.21,73,75,6.93
az,mugan,40.095182,48.821136,36.86,92,20,4.74
ua,shypyntsi,48.376769,25.746637,17.02,88,44,1.95
us,riviera beach,26.775,-80.0583333,75.22,94,40,13.87
at,heidenreichstein,48.866667,15.116667,29.93,89,88,7.43
az,masalli,39.027781,48.670276,39.2,100,40,2.95
de,peine,52.316666999999995,10.233333,34.23,86,75,12.75
ua,rudnytsya,48.255421999999996,28.935745,27.73,97,88,6.76
in,lar,26.203889,83.971667,60.35,81,88,3.06
ru,terney,45.050278000000006,136.609167,7.16,100,8,17.27
dk,horsens,55.865675,9.873531,37.4,86,88,23.04
ua,terebovlya,49.301873,25.709974,20.17,93,48,2.95
fr,fougeres,48.350305,-1.194229,33.98,92,20,5.82
il,kefar yona,32.316691999999996,34.935073,60.8,87,0,11.41
mx,santa maria del rio,21.8,-100.75,64.4,27,75,4.7
cn,humen,22.818985,113.673064,54.48,47,0,14.99
ro,branesti,44.65,23.466667,32,94,75,3.36
ba,priboj,44.6027778,18.9313889,16.57,78,0,2.17
jp,hanamaki,39.383333,141.116667,23,92,90,9.17
gb,honiton,50.8,-3.183333,35.04,80,0,13.87
br,guara,-20.433332999999998,-47.833333,71.51,94,80,2.28
ru,rakhya,60.091148,30.837778,24.8,92,75,8.95
gr,apollona,36.25,27.9666667,55.4,71,40,11.41
mx,tenamaxtlan,20.216667,-104.166667,51.22,100,12,2.06
ng,ilawe,7.5986,5.1086,70.21,96,12,7.2
id,tarakan,3.3,117.633333,77.36,100,92,2.73
ua,myhove,48.157492,25.379038,11.44,75,56,2.39
gr,anoyia,35.283333299999995,24.8833333,50,76,20,6.93
ca,lucan,43.183333000000005,-81.4,24.8,85,90,13.87
rs,loznica,44.534167,19.224167,16.57,78,0,2.17
it,zagarolo,41.833333,12.833333,37.49,69,0,6.93
gh,sunyani,7.3333333,-2.3333333,72.68,37,8,6.76
us,jackson,35.6144444,-88.8138889,31.08,72,90,11.41
ph,balaoan,16.8219,120.4045,77.14,63,8,2.39
de,crailsheim,49.15,10.083333,33.8,96,90,11.41
my,segamat,2.5148,102.8158,77,73,75,9.17
fr,levallois-perret,48.893889,2.288635,33.13,86,0,9.17
ph,kapatan,5.900556,125.2375,80.96,79,88,1.95
za,zeerust,-25.536951000000002,26.075117,68,82,76,8.05
ru,donetsk,48.333721999999995,39.94776,23.9,81,92,17.6
br,canoas,-29.933333,-51.183333,68,94,75,3.36
bj,malanville,11.861388900000001,3.3858333,67.78,28,0,10.78
ru,krasnooktyabrskiy,44.5797,40.0793,35.15,92,80,1.95
gr,metaxades,41.421944399999994,26.2252778,31.28,92,68,2.39
za,vereeniging,-26.673133,27.926147,60.8,87,0,5.41
us,evansville,37.9747222,-87.5558333,28.4,92,90,5.82
us,grand rapids,42.963333299999995,-85.6680556,21.6,73,75,9.17
jp,anjo,34.95,137.083333,39.2,51,20,29.97
us,alice,27.751944399999996,-98.0694444,39.92,86,90,12.75
us,hillsborough,37.5741667,-122.3783333,53.8,81,75,19.46
in,bansbaria,22.971944,88.399444,62.6,72,75,4.85
in,majholi,23.5,79.916667,63.05,95,92,8.43
be,zele,51.066666999999995,4.033333,35.15,94,88,9.17
fr,lisieux,49.147664,0.226625,37.36,60,64,9.17
za,ladybrand,-29.194483,27.45739,50.45,95,68,2.84
id,pare,-7.6823,111.8866,80.74,83,32,3.29
co,arauca,7.084511999999999,-70.755366,78.8,74,20,6.64
us,sumter,33.9202778,-80.3416667,68.4,73,90,5.82
de,montabaur,50.433333000000005,7.833333,32.72,89,75,5.82
co,margarita,9.155957,-74.266183,82.54,67,88,0.72
ro,schitu,44.35,24.566667,32,95,75,3.36
ru,bolshaya dzhalga,45.976389000000005,42.696667,27.41,93,92,20.29
md,floresti,47.893333,28.301389,24.26,100,68,5.3
gr,erithrai,38.216666700000005,23.3166667,48.2,66,20,7.54
cr,san francisco,9.95,-84.066667,71.6,60,20,16.11
ro,melinesti,44.566666999999995,23.716667,32,97,75,3.36
ro,movileni,44.366667,24.65,32,95,75,3.36
ru,obluche,49.0,131.083333,-2.97,60,20,4.74
th,pong,19.149306,100.275222,60.8,100,20,3.36
ua,berezovo,48.309431,23.474004,20.66,98,76,2.17
in,bhalki,18.033333,77.216667,67.51,83,0,7.43
ie,rathdrum,52.9263889,-6.2355556,30.2,92,20,17.22
ru,partizansk,43.125833,133.133889,3.16,44,36,6.53
ph,talobatib,14.1825,122.7853,79.75,99,48,28.9
pa,bocas del toro,9.333333300000001,-82.25,79.21,100,32,6.42
ua,mlyniv,50.508996,25.616753,20.66,83,76,2.95
do,sabana grande de boya,18.95,-69.8,75.2,83,40,4.7
in,arumuganeri,8.566667,78.116667,75.88,100,92,10.67
co,yaguara,2.663548,-75.517532,86,48,75,2.24
ru,ulety,51.3572,112.4849,-1.26,61,0,3.96
hn,guatemalita,14.116666699999998,-88.6166667,64.18,94,24,1.95
in,narayanavanam,13.416667000000002,79.583333,75.34,78,36,4.52
it,capua,41.1,14.2,43.11,78,40,4.7
us,lawrence,42.7069444,-71.1636111,35.91,93,90,3.36
hu,kengyel,47.083333,20.333333,27.25,92,20,4.7
ua,shcholkine,45.427186999999996,35.813346,38.8,81,92,8.77
ro,recea,47.633333,23.516667,33.8,97,88,4.7
ru,romanovskaya,47.5426,42.0285,25.57,80,92,19.06
gt,morales,15.483332999999998,-88.816667,77,88,40,2.62
ru,bakal,54.9417,58.8083,7.03,75,68,4.74
us,southglenn,39.5872222,-104.9522222,28.87,85,1,3.36
br,santa isabel do rio negro,-0.4,-65.033333,73.99,100,80,2.17
us,corsicana,32.0952778,-96.4686111,35.13,64,1,10.29
ru,gribanovskiy,51.45792,41.976365,5.32,84,56,9.22
ro,dagata,46.933333000000005,27.183333,31.12,100,75,6.93
jp,tokyo,35.685,139.751389,42.8,30,20,14.99
il,azur,32.019166999999996,34.810556,60.8,87,0,11.41
in,silvassa,20.266667,73.016667,59.81,81,0,4.18
in,samthar,25.85,78.916667,60.76,91,92,4.29
at,kuchl,47.616667,13.15,35.6,98,75,5.82
ro,acas,47.533333,22.783333,33.8,96,88,4.7
us,scarborough,43.578055600000006,-70.3222222,33.55,100,90,8.05
in,batala,31.818610999999997,75.202778,55.4,100,90,17.38
hn,pueblo nuevo,15.0,-88.75,68.45,93,92,2.06
mx,panixtlahuaca,16.25,-97.383333,80.6,74,40,1.83
ph,ramon,16.784163,121.535041,71.06,99,92,7.87
ro,rodna,47.416667,24.816667,22.28,94,92,1.95
ru,nizhnyaya tura,58.6293,59.8118,2.66,76,64,5.41
in,hadgaon,19.5,77.666667,64.58,90,8,5.19
ro,darjiu,46.2,25.2,33.8,86,92,1.72
gr,kastrakion,39.7155556,21.6180556,36.01,98,88,1.72
ro,maracineni,45.2,26.8,30.2,97,92,2.62
br,nova venecia,-18.716667,-40.4,69.94,94,20,2.73
co,san luis,4.132578,-75.094994,73.4,100,75,2.24
it,cecina,43.316666999999995,10.516667,42.8,93,75,9.17
hn,el progreso,15.4,-87.8,70.75,93,0,1.72
tm,gazanjyk,39.243055600000005,55.5169444,18.37,78,12,2.62
ru,gurskoye,50.316666999999995,138.116667,-3.15,60,64,4.18
gr,nea zikhni,41.033055600000004,23.8297222,41,86,75,5.82
br,divinopolis,-20.15,-44.9,74.21,81,100,2.73
gr,portokhelion,37.3166667,23.15,54.55,100,0,9.22
in,rahon,31.05,76.116667,53.96,97,92,15.14
jp,kurihashi,36.133333,139.7,42.08,22,20,8.05
ph,san mateo,14.6982,121.1236,82.4,78,40,1.12
ru,kazminskoye,44.5872,41.6734,30.2,100,90,8.95
ro,gura vitioarei,45.15,26.033333,33.8,97,90,5.82
tr,kutahya,39.424167,29.983333,42.8,87,75,6.93
ru,tankhoy,51.552778,105.130556,7.84,100,80,3.18
ph,lumatil,5.874722,124.888333,79.75,94,100,1.16
sk,sobrance,48.75,22.1833333,28.09,95,88,3.18
us,douglasville,33.751388899999995,-84.7477778,63,93,90,4.7
bo,la paz,-16.5,-68.15,46.4,87,75,4.7
in,vandalur,12.892778,80.080833,75.2,88,40,4.85
hu,nemesnadudvar,46.340505,19.051153,23.68,86,12,2.95
gt,san juan sacatepequez,14.718889,-90.644167,66.2,82,20,9.17
ir,abdanan,32.9926,47.4198,45.01,66,68,1.39
de,fuldabruck,51.266667,9.483333,32,90,75,4.7
ph,luisiana,14.185,121.5109,82.4,78,40,1.12
in,kochinda,21.733333,84.35,68.18,79,0,3.4
ph,kalbugan,6.959722,124.659167,83.89,61,92,4.18
us,westchester,41.85055560000001,-87.8819444,15.15,67,0,11.41
es,tomares,37.372807,-6.04589,51.76,93,0,3.36
ng,ozubulu,5.956656,6.849038,75.7,100,64,6.76
fr,le petit-quevilly,49.413384,1.06155,34.59,86,20,5.82
ua,vary,48.122067,22.712811,33.8,95,88,4.7
ba,orguz,43.773888899999996,16.8638889,39.2,55,0,5.82
re,saint-paul,-21.0,55.2666667,77,83,0,4.7
gr,elos,36.8333333,22.7,37.4,93,40,11.79
ph,kulasi,5.9052,120.9569,82.4,91,92,12.8
gr,sisamia,40.95,23.4166667,44.6,100,40,8.05
ru,pinerovka,51.562,43.0689,4.69,78,44,9.55
ph,cavite,15.6655,120.7693,78.8,65,75,4.7
us,east bridgewater,42.033333299999995,-70.9597222,45.82,100,90,17.72
us,melbourne,28.0833333,-80.6083333,74.61,88,90,14.99
na,ongandjera,-17.8833333,15.0666667,67.87,54,0,5.53
ro,ilva mica,47.316666999999995,24.666667,22.28,94,92,1.95
cz,rotava,50.297435,12.573072,32,84,90,6.93
py,san patricio,-26.966666999999998,-56.816667,71.65,89,100,9.1
in,ahmadabad,23.033333,72.616667,62.6,72,0,4.41
ru,novyy urengoy,66.083333,76.633333,-0.04,77,56,9.22
gr,kiverion,37.5166667,22.7333333,38.03,84,0,5.08
kz,karaton,46.435278000000004,53.486389,7.21,79,48,10.22
in,katpadi,12.983333,79.133333,71.33,85,12,3.74
gb,sanquhar,55.35,-3.916667,32.97,98,88,6.93
tr,beysehir,37.677347999999995,31.724577,33.58,100,0,5.64
tj,sovetskiy,38.0458333,69.5880556,25.16,74,44,3.51
ro,movileni,47.316666999999995,27.35,30.2,100,75,6.93
gb,felling,54.955,-1.56,31.98,93,20,21.92
de,walldorf,49.306389,8.645278,30.16,88,32,8.66
ru,pregradnoye,45.821834,41.746924,34.03,92,92,16.71
